file,start_line,start_character,end_line,end_character,message
./test_code/Aggregates_CantBumpBoolList_failure.a,6,2,6,15,"Type check failure: Must have a type of 'int', 'long', 'double', 'list<int>', 'list<long>', 'list<double>'; instead got 'list<r<bool>>'"
./test_code/Aggregates_CantBumpBoolList_failure.a,7,5,7,18,"Type check failure: Must have a type of 'int', 'long', 'double', 'list<int>', 'list<long>', 'list<double>'; instead got 'list<r<bool>>'"
./test_code/Aggregates_RecordAssignMaybeBad_failure.a,12,2,12,25,"'maybe<r<int>>' is unable to accept an set of 'int'."
./test_code/Aggregates_RecordAssignMaybeBad_failure.a,13,2,13,27,"'maybe<r<int>>' is unable to accept an assignment of 'int'."
./test_code/Aggregates_RecordAssignMaybeBad_failure.a,13,2,13,27,"Could not find a meaning for 'maybe<r<int>>' += 'int'"
./test_code/Array_ParenthesisInvalidTypeDuringTPTC_failure.a,1,19,1,23,"Type check failure: The types '_AutoMaxRecord_8' and 'bool' are not compatible for type unification"
./test_code/Assets_CanAttach_failure.a,0,12,1,1,"The @can_attach handler must return a boolean"
./test_code/Assets_Failures_failure.a,4,2,4,8,"Type 'asset' lacks field 'food'"
./test_code/Assets_Failures_failure.a,4,2,4,8,"Expression is not a function"
./test_code/Assets_Failures_failure.a,5,2,5,7,"Type check failure: the type 'asset' is unable to store type 'int'."
./test_code/Auth_NoReturn_failure.a,0,0,1,1,"@authorize must either return a string or abort"
./test_code/Auth_TooManyPW_failure.a,3,0,4,1,"Only one @password action allowed"
./test_code/Auth_TooMany_failure.a,7,0,9,1,"Only one @authorize action allowed"
./test_code/BinaryExpression_WhenCantAdd_failure.a,17,12,17,21,"Could not find a meaning for 'long' + 'bool'"
./test_code/BinaryExpression_WhenCantAdd_failure.a,18,12,18,34,"Could not find a meaning for 'list<int>' + 'bool'"
./test_code/BinaryExpression_WhenCantAdd_failure.a,22,3,22,11,"Expression expected to be computed, rather than assigned to"
./test_code/BinaryExpression_WhenCantAdd_failure.a,22,3,22,11,"Could not find a meaning for 'bool' + 'int'"
./test_code/BinaryExpression_WhenCantAdd_failure.a,22,17,22,23,"Could not find a meaning for 'string' / 'int'"
./test_code/BinaryExpression_WhenCantAdd_failure.a,1,11,1,23,"Could not find a meaning for 'bool' + 'bool'"
./test_code/BinaryExpression_WhenCantAdd_failure.a,2,11,2,19,"Could not find a meaning for 'bool' + 'int'"
./test_code/BinaryExpression_WhenCantAdd_failure.a,3,11,3,19,"Could not find a meaning for 'int' + 'bool'"
./test_code/BinaryExpression_WhenCantAdd_failure.a,4,11,4,21,"Could not find a meaning for 'bool' + 'double'"
./test_code/BinaryExpression_WhenCantAdd_failure.a,5,11,5,21,"Could not find a meaning for 'double' + 'bool'"
./test_code/BinaryExpression_WhenCantAdd_failure.a,6,11,6,25,"Could not find a meaning for 'bool' + 'principal'"
./test_code/BinaryExpression_WhenCantAdd_failure.a,7,11,7,23,"Could not find a meaning for 'principal' + '__ViewerType'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,4,11,4,20,"Could not find a meaning for 'bool' == 'int'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,5,11,5,20,"Could not find a meaning for 'int' == 'bool'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,6,11,6,22,"Could not find a meaning for 'bool' == 'double'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,7,11,7,22,"Could not find a meaning for 'double' == 'bool'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,8,11,8,26,"Could not find a meaning for 'bool' == 'principal'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,9,11,9,24,"Could not find a meaning for 'principal' == '__ViewerType'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,10,10,10,22,"Type check failure: enum types are incompatible 'X' vs 'T'."
./test_code/BinaryExpression_WhenCantCompare_failure.a,10,10,10,22,"Could not find a meaning for 'X' == 'T'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,15,11,15,20,"Could not find a meaning for 'bool' != 'int'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,16,11,16,20,"Could not find a meaning for 'int' != 'bool'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,17,11,17,22,"Could not find a meaning for 'bool' != 'double'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,18,11,18,22,"Could not find a meaning for 'double' != 'bool'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,19,11,19,26,"Could not find a meaning for 'bool' != 'principal'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,20,11,20,24,"Could not find a meaning for 'principal' != '__ViewerType'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,21,10,21,22,"Type check failure: enum types are incompatible 'X' vs 'T'."
./test_code/BinaryExpression_WhenCantCompare_failure.a,21,10,21,22,"Could not find a meaning for 'X' != 'T'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,25,12,25,20,"Could not find a meaning for 'bool' + 'int'"
./test_code/BinaryExpression_WhenCantCompare_failure.a,25,26,25,32,"Could not find a meaning for 'string' / 'int'"
./test_code/BinaryExpression_WhenCantDivide_failure.a,1,11,1,23,"Could not find a meaning for 'bool' / 'bool'"
./test_code/BinaryExpression_WhenCantDivide_failure.a,2,11,2,19,"Could not find a meaning for 'bool' / 'int'"
./test_code/BinaryExpression_WhenCantDivide_failure.a,3,11,3,19,"Could not find a meaning for 'int' / 'bool'"
./test_code/BinaryExpression_WhenCantDivide_failure.a,4,11,4,21,"Could not find a meaning for 'bool' / 'double'"
./test_code/BinaryExpression_WhenCantDivide_failure.a,5,11,5,21,"Could not find a meaning for 'double' / 'bool'"
./test_code/BinaryExpression_WhenCantDivide_failure.a,6,11,6,25,"Could not find a meaning for 'bool' / 'principal'"
./test_code/BinaryExpression_WhenCantDivide_failure.a,7,11,7,23,"Could not find a meaning for 'principal' / '__ViewerType'"
./test_code/BinaryExpression_WhenCantDivide_failure.a,8,12,8,24,"Could not find a meaning for 'principal' / '__ViewerType'"
./test_code/BinaryExpression_WhenCantLogic_failure.a,2,11,2,20,"Could not find a meaning for 'bool' && 'int'"
./test_code/BinaryExpression_WhenCantLogic_failure.a,3,11,3,20,"Could not find a meaning for 'int' && 'bool'"
./test_code/BinaryExpression_WhenCantLogic_failure.a,4,11,4,22,"Could not find a meaning for 'bool' && 'double'"
./test_code/BinaryExpression_WhenCantLogic_failure.a,5,11,5,22,"Could not find a meaning for 'double' && 'bool'"
./test_code/BinaryExpression_WhenCantLogic_failure.a,6,11,6,26,"Could not find a meaning for 'bool' && 'principal'"
./test_code/BinaryExpression_WhenCantLogic_failure.a,7,11,7,24,"Could not find a meaning for 'principal' && '__ViewerType'"
./test_code/BinaryExpression_WhenCantLogic_failure.a,12,11,12,20,"Could not find a meaning for 'bool' || 'int'"
./test_code/BinaryExpression_WhenCantLogic_failure.a,13,11,13,20,"Could not find a meaning for 'int' || 'bool'"
./test_code/BinaryExpression_WhenCantLogic_failure.a,14,11,14,22,"Could not find a meaning for 'bool' || 'double'"
./test_code/BinaryExpression_WhenCantLogic_failure.a,15,11,15,22,"Could not find a meaning for 'double' || 'bool'"
./test_code/BinaryExpression_WhenCantLogic_failure.a,16,11,16,26,"Could not find a meaning for 'bool' || 'principal'"
